BK0036,Fiction,In-Stock,2500,563,675,AB1,03-Sep-18
BK0037,Fiction,In-Stock,2500,563,675,AB1,02-Sep-18
BK0038,Non-Ficition,Sent-As-Sample,1000,225,270,AB1,03-Sep-18
BK0039,Commerce,In-Stock,2000,450,540,AB1,04-Sep-18
BK0040,Finance,Sold,3500,788,945,AB1,05-Sep-18
BK0041,Accounts,Sent-4-Correction,500,113,135,AB1,06-Sep-18
BK0042,Computer Science,Sold,300,68,81,AB1,07-Sep-18
BK0043,Biography,In-Stock,2500,563,675,AB1,08-Sep-18
BK0044,Fiction,In-Stock,1000,225,270,AB1,09-Sep-18
BK0045,Non-Ficition,Sold,2000,450,540,AB1,10-Sep-18
BK0046,Commerce,In-Stock,3500,788,945,AB1,11-Sep-18
BK0047,Finance,In-Stock,500,113,135,AB1,12-Sep-18
BK0048,Accounts,Sent-4-Correction,300,68,81,AB1,13-Sep-18
BK0049,Computer Science,In-Stock,2500,563,675,AB1,14-Sep-18
BK0050,Biography,Sent-As-Sample,1000,225,270,AB1,15-Sep-18
BK0051,Accounts,In-Stock,2000,450,540,AB1,16-Sep-18
BK0052,Computer Science,In-Stock,3500,788,945,AB1,17-Sep-18
BK0053,Biography,In-Stock,500,113,135,AB1,18-Sep-18
BK0054,Fiction,Sent-4-Correction,300,68,81,AB1,19-Sep-18
BK0055,Fiction,In-Stock,1252.631579,229.9333333,81,AB1,03-Sep-18
BK0056,Fiction,In-Stock,1210,205.8121212,81,AB1,02-Sep-18
BK0057,Non-Ficition,Sent-As-Sample,1167.368421,181.6909091,81,AB1,03-Sep-18
BK0058,Commerce,In-Stock,1124.736842,157.569697,81,AB1,04-Sep-18
BK0059,Finance,Sold,1082.105263,133.4484848,81,AB1,05-Sep-18
BK0060,Accounts,Sent-4-Correction,1039.473684,109.3272727,81,AB1,06-Sep-18
BK0061,Computer Science,Sold,996.8421053,85.20606061,81,AB1,07-Sep-18
BK0062,Biography,In-Stock,954.2105263,61.08484848,81,AB1,08-Sep-18
BK0063,Fiction,In-Stock,911.5789474,36.96363636,81,AB1,09-Sep-18
BK0064,Non-Ficition,Sold,868.9473684,12.84242424,81,AB1,10-Sep-18
BK0065,Commerce,In-Stock,826.3157895,12.84242424,81,AB1,11-Sep-18
BK0066,Finance,In-Stock,783.6842105,12.84242424,81,AB1,12-Sep-18
BK0067,Accounts,Sent-4-Correction,741.0526316,12.84242424,81,AB1,13-Sep-18
BK0068,Computer Science,In-Stock,698.4210526,12.84242424,81,AB1,14-Sep-18
BK0069,Biography,Sent-As-Sample,655.7894737,12.84242424,81,AB1,15-Sep-18
BK0070,Accounts,In-Stock,613.1578947,12.84242424,81,AB1,16-Sep-18
BK0071,Computer Science,In-Stock,570.5263158,12.84242424,81,AB1,17-Sep-18
BK0072,Biography,In-Stock,527.8947368,12.84242424,81,AB1,18-Sep-18
BK0073,Fiction,Sent-4-Correction,485.2631579,12.84242424,81,AB1,19-Sep-18
BK0074,Fiction,In-Stock,442.6315789,12.84242424,81,AB1,03-Sep-18
BK0075,Fiction,In-Stock,400,12.84242424,81,AB1,02-Sep-18
BK0076,Non-Ficition,Sent-As-Sample,357.3684211,12.84242424,81,AB1,03-Sep-18
BK0077,Commerce,In-Stock,314.7368421,12.84242424,81,AB1,04-Sep-18
BK0078,Finance,Sold,272.1052632,12.84242424,81,AB1,05-Sep-18
BK0079,Accounts,Sent-4-Correction,229.4736842,12.84242424,81,AB1,06-Sep-18
BK0080,Computer Science,Sold,186.8421053,12.84242424,81,AB1,07-Sep-18
BK0081,Biography,In-Stock,144.2105263,12.84242424,81,AB1,08-Sep-18
BK0082,Fiction,In-Stock,101.5789474,12.84242424,81,AB1,09-Sep-18
BK0083,Non-Ficition,Sold,58.94736842,12.84242424,81,AB1,10-Sep-18
BK0084,Commerce,In-Stock,16.31578947,12.84242424,81,AB1,11-Sep-18
BK0085,Finance,In-Stock,16.31578947,12.84242424,81,AB1,12-Sep-18
BK0086,Accounts,Sent-4-Correction,16.31578947,12.84242424,81,AB1,13-Sep-18
BK0087,Computer Science,In-Stock,16.31578947,12.84242424,81,AB1,14-Sep-18
BK0088,Biography,Sent-As-Sample,16.31578947,12.84242424,81,AB1,15-Sep-18
BK0089,Accounts,In-Stock,16.31578947,12.84242424,81,AB1,16-Sep-18
BK0090,Computer Science,In-Stock,16.31578947,12.84242424,81,AB1,17-Sep-18
BK0091,Biography,In-Stock,16.31578947,12.84242424,81,AB1,18-Sep-18
