BK0018,Fiction,In-Stock,2500,563,675,AB1,03-Sep-18
BK0019,Fiction,In-Stock,2500,563,675,AB1,02-Sep-18
BK0020,Non-Ficition,Sent-As-Sample,1000,225,270,AB1,03-Sep-18
BK0021,Commerce,In-Stock,2000,450,540,AB1,04-Sep-18
BK0022,Finance,Sold,3500,788,945,AB1,05-Sep-18
BK0023,Accounts,Sent-4-Correction,500,113,135,AB1,06-Sep-18
BK0024,Computer Science,Sold,300,68,81,AB1,07-Sep-18
BK0025,Biography,In-Stock,2500,563,675,AB1,08-Sep-18
BK0026,Fiction,In-Stock,1000,225,270,AB1,09-Sep-18
BK0027,Non-Ficition,Sold,2000,450,540,AB1,10-Sep-18
BK0028,Commerce,In-Stock,3500,788,945,AB1,11-Sep-18
BK0029,Finance,In-Stock,500,113,135,AB1,12-Sep-18
BK0030,Accounts,Sent-4-Correction,300,68,81,AB1,13-Sep-18
BK0031,Computer Science,In-Stock,2500,563,675,AB1,14-Sep-18
BK0032,Biography,Sent-As-Sample,1000,225,270,AB1,15-Sep-18
BK0033,Accounts,In-Stock,2000,450,540,AB1,16-Sep-18
BK0034,Computer Science,In-Stock,3500,788,945,AB1,17-Sep-18
BK0035,Biography,In-Stock,500,113,135,AB1,18-Sep-18
BK0036,Fiction,Sent-4-Correction,300,68,81,AB1,19-Sep-18
